กฟฟ.,ทะเบียน,จว.,รหัส,ยี่ห้อ,ลักษณะ/พิกัด,เลขเครื่อง,รุ่น/เลขชัชซี่,วันจดทะเบียน,อายุ,ประกันภัย,เชื้อเพลิง
กฟต.1,กค 3675 ,พบ.  ,ต.1-01-1836,ISUZU               ,กระบะบรรทุก 1 ตัน 4 ประตูมีหลังคาครอบ             ,4JK1DP2807,MP1TFR86H6T134813 / TFR86HDM3G(S),22/3/2549,11,ป.3,ดีเชล
กฟต.1,กค 3677 ,พบ.  ,ต.1-01-1829,ISUZU               ,กระบะบรรทุก 1 ตัน 4 ประตูมีหลังคาครอบ             ,4JK1-DS2013,MP1TFR86H6T147016 / TFR86HDM3G,22/3/2549,11,ป.3,ดีเชล
กฟต.1,กค 3678 ,พบ.  ,ต.1-01-1827,ISUZU               ,กระบะบรรทุก 1 ตัน 4 ประตูมีหลังคาครอบ             ,4JK1DS1996,MP1TFR86H6T147025 / TFR86HDH3G,22/3/2549,11,ป.3,ดีเชล
กฟต.1,กค 3680 ,พบ.  ,ต.1-01-1828,ISUZU               ,กระบะบรรทุก 1 ตัน 4 ประตูมีหลังคาครอบ             ,4JK1DR9786,MP1TFR86H6T144894 /TFR86HDM3G,22/3/2549,11,ป.3,ดีเชล
กฟต.1,กค 3682 ,พบ.  ,ต.1-01-1834,ISUZU               ,กระบะบรรทุก 1 ตัน 4 ประตูมีหลังคาครอบ             ,4JK1-DP5165,MP1TFR86H6T137237 / TFR86HDM3G(S),23/3/2549,11,ป.3,ดีเชล
กฟต.1,กค 3683 ,พบ.  ,ต.1-01-1838,ISUZU               ,กระบะบรรทุก 1 ตัน 4 ประตูมีหลังคาครอบ             ,4JK1DP2804,MP1TFR86H6T134811 / TFR86HDM3G,22/3/2549,11,ป.3,ดีเชล
กฟต.1,กค 3686 ,พบ.  ,ต.1-01-1835,ISUZU               ,กระบะบรรทุก 1 ตัน 4 ประตูมีหลังคาครอบ             ,4JK1DP2797,MP1TFR86H6T134809 / TFR86HDM3G,22/3/2549,11,ป.3,ดีเชล
กฟต.1,กค 3760 ,พบ.  ,ต.1-01-1891,ISUZU               ,ตรวจการ                                           ,4JJ1DVO219,MP1TFS85H6T102821 / TFS85HWMOF,16/6/2549,11,ป.3,ดีเชล
กฟต.1,กค 6456 ,พบ.  ,ต.1-01-2001,FORD                ,กระบะบรรทุก 1 ตัน 4 ประตูมีหลังคาครอบ             ,WLAT-774735,MNBBSFD207W638265 /FORD RANGER,29/5/2550,10,ป.3,ดีเชล
กฟต.1,กค-3684 ,พบ.  ,ต.1-01-1837,ISUZU               ,กระบะบรรทุก 1 ตัน 4 ประตูมีหลังคาครอบ             ,4JK1DP5166,MP1TFR86H6T137238 / TFR86HDM3G,22/3/2549,11,ป.3,ดีเชล
กฟต.1,กค-6457 ,พบ.  ,ต.1-01-1999,FORD                ,กระบะบรรทุก 1 ตัน 4 ประตูมีหลังคาครอบ             ,WLAT-773878,MNBBSFD207W637533 / FORD RANGER,29/5/2550,10,ป.3,ดีเชล
กฟต.1,กค-8959 ,พบ.  ,ต.1-01-1317,FORD                ,กระบะบรรทุก 1 ตัน 4 ประตูมีหลังคาครอบ             ,WLAT434386,MNBBSFD303W363500 /RANGER,21/2/2547,13,ป.3,ดีเชล
